Pais;Pais_iso3;WGI_Pais
Algeria;DZA;6,43
Albania;ALB;5,16
Argentina;ARG;5,47
Armenia;ARM;5,41
Australia;AUS;2,36
Austria;AUT;2,50
Bahrain;BHR;5,15
Bangladesh;BGD;6,41
Belarus;BLR;6,18
Belgium;BEL;2,81
Bolivia;BOL;5,97
Brazil;BRA;5,08
Bulgaria;BGR;4,73
Burkina Faso;BFA;5,74
Burundi;BDI;7,00
Canada;CAN;2,26
Chile;CHL;3,11
China;CHN;5,83
Colombia;COL;5,39
Congo, D.R.;COD;7,60
Cote D_Ivoire;CIV;6,21
Cuba;CUB;5,87
Czech Republic;CZE;3,47
Denmark;DNK;2,11
Dominican Republic;DOM;5,40
Ecuador;ECU;5,99
Egypt, Arab Rep.;EGY;6,48
Estonia;EST;3,07
Ethiopia;ETH;6,52
Finland;FIN;1,98
France;FRA;3,11
Gabon;GAB;5,97
Georgia;GEO;4,47
Germany;DEU;2,47
Ghana;GHA;4,94
Greece;GRC;4,60
Guatemala;GTM;6,00
Guinea;GIN;6,72
Guyana;GUY;5,56
Hong Kong;HKG;2,56
Hungary;HUN;4,06
Iceland;ISL;2,52
India;IND;5,45
Indonesia;IDN;5,47
Iran, Islamic Rep.;IRN;6,65
Iraq;IRQ;7,35
Ireland;IRL;2,58
Israel;ISR;3,83
Italy;ITA;4,17
Jamaica;JAM;4,85
Japan;JPN;2,77
Jordan;JOR;5,16
Kazakhstan;KAZ;5,90
Kenya;KEN;6,03
Korea, Dem. Rep.;PRK;7,74
Korea, Rep.;KOR;3,74
Kuwait;KWT;5,24
Kyrgyz Republic;KGZ;6,30
Lao Pdr;LAO;6,25
Lithuania;LTU;3,50
Liberia;LBR;6,29
Madagascar;MDG;6,26
Malaysia;MYS;4,39
Mali;MLI;6,39
Mexico;MEX;5,33
Mongolia;MNG;5,18
Morocco;MAR;5,48
Mozambique;MOZ;5,93
Myanmar;MMR;6,95
Namibia;NAM;4,44
Netherlands;NLD;2,19
New Caledonia;NCL;3,23
Nigeria;NGA;6,83
Norway;NOR;2,03
Oman;OMN;4,70
Others;OTHS;0,00
Other EU;OTHEU;0,00
Other non EU;OTHNOEU;0,00
Pakistan;PAK;6,78
Panama;PAN;4,79
Papua New Guinea;PNG;5,94
Peru;PER;5,30
Philippines;PHL;5,49
Poland;POL;3,60
Portugal;PRT;3,34
Qatar;QAT;4,03
Russian Federation;RUS;6,20
Rwanda;RWA;5,17
Saudi Arabia;SAU;5,51
Senegal;SEN;5,21
Sierra Leone;SLE;6,17
Singapore;SGP;2,37
Slovakia;SVK;3,79
South Africa;ZAF;4,65
Spain;ESP;3,62
Sri Lanka;LKA;5,36
Sudan;SDN;7,70
Suriname;SUR;5,16
Sweden;SWE;2,05
Taiwan, China;TWN;3,27
Tajikistan;TJK;6,88
Tanzania;TZA;5,74
Thailand;THA;5,50
Togo;TGO;6,34
Tunisia;TUN;5,40
Turkey;TUR;5,34
Uganda;UGA;5,99
Ukraine;UKR;6,23
United Arab Emirates;ARE;3,94
United Kingdom;GBR;2,60
United States;USA;2,92
Uzbekistan;UZB;6,98
Venezuela, Rb;VEN;7,30
Vietnam;VNM;5,75
Zambia;ZMB;5,40
Zimbabwe;ZWE;7,17
