Material;MaterialOrg;EtapaBase;;;
Aluminium;Bauxite;1;;;
Arsenic;Copper;1;;;
Arsenic;Zinc;1;;;
Cadmium;Zinc;1;;;
Germanium;Zinc;1;;;
Hafnium;Zirconium;1;;;
Selenium;Copper;1;;;
Tellurium;Copper;1;;;
Iridium;Nickel;1;;;
Palladium;Nickel;1;;;
Platinum;Nickel;1;;;
Rhodium;Nickel;1;;;
Ruthenium;Nickel;1;;;
Iridium;Copper;1;;;
Palladium;Copper;1;;;
Platinum;Copper;1;;;
Rhodium;Copper;1;;;
Ruthenium;Copper;1;;;
Sulphur;Coking coal;2;;;
Sulphur;N-Fossil Fuels;2;;;
Sulphur;N-Natural gas;2;;;
Sulphur;N-Sulphur;1;;;
