MaterialApl;ApplicationORG;ShareSectorApl;SectorAplMatORG;ValorAnadidoSector;SectorAplicacion;GrupoAplicacion
Aluminium;Construction;0,23;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Building & roads
Aluminium;Mobility (Transport and Automotive);0,21;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Transport (automotive)
Aluminium;Mobility (Transport and Automotive);0,21;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Transport (automotive)
Aluminium;Packaging;0,17;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Packaging
Aluminium;High Tech Engineering;0,12;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;High Tech Engineering
Aluminium;Consumer Durables;0,06;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Consumer Durables
Antimony;Flame retardants;0,43;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Antimony;Lead-acid batteries;0,32;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries (Lead)
Antimony;Lead alloys;0,14;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Alloys
Antimony;Plastics (catalysts and stabilisers);0,06;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Plastics)
Antimony;Glass and ceramics;0,05;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Arsenic;Zinc production;0,71;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Arsenic;Glassmaking;0,18;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Arsenic;Chemicals;0,07;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Arsenic;Alloys;0,05;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Alloys
Arsenic;Electronics;0,00;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Baryte;Weighting agent in oil and gas well drilling fluids or -muds-;0,60;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Mining-Extraction
Baryte;Filler in rubbers, plastics, paints & paper;0,30;C22 - Manufacture of rubber and plastic products;75,98;C22-rubber & plastic prods. ;Filler, extender, sealant
Baryte;Chemical industry;0,10;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Bauxite;Refining to alumina;0,90;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Bauxite;Refractories;0,03;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Industry
Bauxite;Cement;0,03;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Bauxite;Abrasives;0,02;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Abrasives
Bauxite;Chemicals;0,02;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Bentonite;Pet litter;0,34;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Pets
Bentonite;Foundry molding sands;0,22;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Foundry
Bentonite;Civil engineering;0,13;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Civil engineering
Bentonite;Food and wine production;0,03;C11 - Manufacture of beverages;32,51;C11-beverages ;Foods
Bentonite;Pelletizing of iron ore;0,08;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Bentonite;Oil absorbents;0,08;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Bentonite;Paper;0,03;C17 - Manufacture of paper and paper products;38,91;C17-paper & paper prods. ;Chemicals (Paper)
Bentonite;Specialties and drilling fluids;0,07;B09-Mining (support)**;3,40;B09-Mining (support)**;Mining-Extraction
Bentonite;Others;0,02;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Beryllium;Electronic and telecommunications equipments;0,42;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Beryllium;Transport and Defense : Vehicle electronics;0,17;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Defense
Beryllium;Transport and Defense : Auto components;0,17;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Defense
Beryllium;Transport and Defense : Aerospace components;0,10;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Defense
Beryllium;Energy application;0,08;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Beryllium;Industrial components : Moulds;0,03;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Industry
Beryllium;Industrial components : Metal;0,03;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Industry
Beryllium;Others;0,00;Z99-Others;0,00;Z99-Others**;Chemicals
Bismuth;Chemicals;0,62;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Bismuth;Low-melting alloys;0,28;C32-Other manuf.;39,16;C32-Other manuf.**;Alloys
Bismuth;Metallurgical additives;0,10;C24 - Manufacture of basic metals;55,43;C24 - Manufacture of basic metals;Metals-Basics
Borate;Glass;0,55;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Borate;Frits and Ceramics;0,17;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Ceramics & Frits
Borate;Fertilisers;0,15;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Agriculture
Borate;Chemicals manufacture;0,04;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Borate;Construction materials (flame retardants, plasters, wood preservatives);0,04;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Building & roads
Borate;Metals;0,04;C24 - Manufacture of basic metals;55,43;C24 - Manufacture of basic metals;Metals-Basics
Borate;Other;0,00;Z99-Others;0,00;Z99-Others**;Others
Cadmium;Batteries;0,80;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Cadmium;Pigments;0,11;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Paint, Adhesives)
Cadmium;Coatings;0,07;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Coatings
Cadmium;Stabilizers;0,02;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Cadmium;Others;0,00;Z99-Others;0,00;Z99-Others**;Chemicals
Cerium;Autocatalysts;0,35;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Catalysts
Cerium;Glass&Ceramics;0,33;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Ceramics & Frits
Cerium;Polishing powders;0,11;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Cerium;Fluid Cracking Catalysts;0,08;C19 - Manufacture of coke and refined petroleum products;17,29;C19-Coke & Refined Petrol. Ps;Energy (Oil)
Cerium;Metal (no Battery);0,06;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Cerium;Batteries;0,06;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Cerium;Lighting;0,01;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Chromium;Products made of Stainless Steel;0,74;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Tools (Stainless Steel)
Chromium;Products made of Alloy Steel;0,19;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Alloys
Chromium;Casting Molds;0,03;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Casting Molds
Chromium;Products made of chromium chemicals;0,03;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Chromium;Refractory bricks and mortars;0,01;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Industry
Chromium;Other uses;0,00;Z99-Others;0,00;Z99-Others**;Others
Cobalt;Superalloys, hardfacing/HSS and other alloys;0,36;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Superalloys
Cobalt;Hard materials (carbides and diamond tools);0,14;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Tools (Hard materials)
Cobalt;Pigments and Inks;0,13;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Paint, Adhesives)
Cobalt;Catalysts;0,12;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Catalysts
Cobalt;Tyre adhesives and paint dryers;0,11;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Paint, Adhesives)
Cobalt;Magnets;0,07;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Cobalt;Other: Biotech, Surface Treatment, etc;0,06;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Cobalt;Battery;0,03;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Coking coal;Coke for steel production;0,82;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Steel
Coking coal;Coke for other applications;0,09;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Coke (Others)
Coking coal;Other uses (tar, benzole, electricity and heat);0,08;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Copper;Automotive;0,06;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Transport (automotive)
Copper;Digital appliances;0,14;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Copper;Jewellery;0,05;C32-Other manuf.;39,16;C32-Other manuf.**;Jewelery & others
Copper;Ships, trucks and armored vehicles;0,10;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Transport (all)
Copper;Subparts of interior;0,02;C31 - Manufacture of furniture;26,17;C31-furniture ;Furniture
Copper;Oxides and dopants;0,03;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Copper;Electrolytic refined copper;0,02;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Electrical and Electronics
