SectorAplicacion;ValorAnadidoSector
B06-Extraction (crude, gas)**;19,75
B09-Mining (support)**;3,40
C10-food prods. ;155,88
C11-beverages ;32,51
C16-Wood,Cork,Straw,Plaiting-NoFur;27,97
C17-paper & paper prods. ;38,91
C19-Coke & Refined Petrol. Ps;17,29
C20-Chemicals & Chemc.Prods.;105,51
C21-BasicPharmaceutic.&PhPreps;80,18
C22-rubber & plastic prods. ;75,98
C23-Oth.NoMetal.mineral Prods.;57,26
C24 - Manufacture of basic metals;55,43
C24-basic metals ;55,43
C25-fabricated metal prods., ;148,35
C25-FabrMetalProds-NoMachin-Eq;148,35
C26-Computer,Electron.Optic.Ps;65,70
C27-electrical equipment ;80,75
C28-Machinery &Equipment n.e.c;182,59
C29-MotorVehicle,Trailer&SemiT;160,60
C30-other transport equipment ;44,30
C31-furniture ;26,17
C32-Other manuf.**;39,16
C33-Repair&install.Machinery-Equip;52,33
E39-Remed.Activs &Waste MngSrvs;1,30
Z99-Others**;0,00
